County FIPS Code,Median Household Income,"Poverty Percent, All Ages","Percent of adults with a bachelor's degree or higher, 2012-2016",Alzheimer's Disease/Dementia,Arthritis,Asthma,Atrial Fibrillation,COPD,Cancer,Chronic Kidney Disease,Depression,Diabetes,Heart Failure,Hyperlipidemia,Hypertension,Ischemic Heart Disease,Osteoporosis,Schizophrenia/Other Psychotic Disorders,Stroke,Tobacco Consumption,% Excessive drinking,Median Age ,% Obese Adults,CHD
1,51130,12.8,18.145,8.5253,26.9697,3.7778,7.0303,10.404,7.0707,11.4949,12.0808,25.899,13.7576,44.6667,50.5455,26.3838,6.3232,2.9697,3.8182,15,20,35.5,30,1
3,33344,29,30.974,8.9097,20.2814,5.041,6.9168,11.7233,7.034,9.7304,11.7233,23.6811,13.8335,40.5627,52.9894,28.7222,3.0481,6.3306,3.8687,22,14,37.2,37,1
5,53631,13.6,15.429,8.8136,32.0904,3.0508,7.4899,10.7506,8.7328,9.3785,10.7022,23.3253,17.159,33.3172,50.6215,31.0412,6.3277,3.0186,3.4544,17,19,36.1,28,0
7,62081,9.6,32.894,10.2116,27.3229,3.2199,6.7157,11.4995,6.8997,11.5915,10.2116,31.2787,20.3312,52.8979,66.7893,41.8583,4.1398,2.5759,3.4959,15,20,28.4,30,0
9,51826,16.7,22.6,7.9876,20.3406,3.9938,6.8111,11.9814,7.2136,10.2477,9.4118,25.6347,15.418,40.2786,50.3096,32.6625,3.7152,1.7647,2.9102,16,23,34.1,34,1
11,53410,11.5,8.985,8.5727,25.1523,4.6997,6.0052,11.9669,6.7885,9.0949,11.6623,23.7163,13.4465,43.4291,56.2228,31.4186,4.2211,3.0026,2.6545,15,20,40,28,1
13,50952,12.2,18.264,10.3575,25.8448,5.1604,6.9417,10.0453,8.7843,13.9814,13.9569,23.0534,16.0137,41.9136,56.0051,25.1653,8.0436,3.8443,3.7831,14,19,35.3,29,0
15,50330,12.6,21.51,8.4944,23.7479,4.8561,6.4698,12.422,8.0073,11.3411,13.8377,26.5794,16.9432,46.5977,58.1215,32.9274,4.369,3.9428,3.5165,14,18,38.7,29,0
17,47511,13.7,14.3,11.699,22.1579,2.9764,5.7875,13.6007,7.1931,10.9136,12.2778,23.2327,18.6854,27.5734,48.5325,32.6581,5.9115,2.4804,4.382,15,20,27.5,29,0
19,51032,18.9,18.805,9.3641,25.856,3.1097,7.2676,18.5884,8.5255,14.1859,13.2425,24.9126,18.1691,36.8973,59.8532,35.7792,4.3676,4.6471,4.5423,16,20,32.7,28,0
21,49324,12.7,15.042,11.9131,25.8216,2.9147,9.2723,11.698,6.7684,10.6416,12.989,23.4546,14.4562,40.1995,54.9491,31.6119,6.2207,2.5235,4.4405,16,20,36.5,25,0
23,49937,12,16.359,11.6616,25.0479,3.5177,7.2543,14.8919,8.2261,11.8122,15.8089,23.2549,22.1736,41.6233,54.4484,30.4681,7.8429,4.0652,3.4355,16,19,36.2,32,1
25,43478,16,13.831,11.4318,29.5068,5.1065,7.5698,10.112,8.3396,12.7022,11.7923,27.4143,19.6522,39.578,57.1616,31.7245,6.9022,4.8207,4.743,16,19,39,33,0
27,61013,9.3,43.927,8.6531,26.118,2.6727,7.3035,12.9399,8.4943,9.8439,10.5054,24.1069,13.8396,35.0886,53.9296,25.6946,7.5152,2.7785,5.3189,14,22,35.4,31,1
29,42066,19.3,15.079,9.4945,25.7707,3.3909,6.4735,13.7485,7.09,12.3921,12.2688,24.9075,17.5092,39.0259,55.1788,31.3194,6.1036,2.0345,3.5758,19,19,35.2,30,0
31,60025,15,16.474,10.1918,25.566,4.1367,7.7189,9.8191,7.7462,10.4919,12.4193,25.0114,15.6832,40.3764,53.8504,28.0389,6.1006,2.6002,3.6549,15,22,36,26,1
33,46374,14.4,14.798,8.7651,29.5676,4.5578,8.1808,14.8422,8.4924,15.1149,15.4655,22.2828,21.6206,41.2154,57.3822,36.1122,6.9342,3.7008,4.5578,15,20,43.3,25,1
35,49733,12.4,21.158,11.236,23.5955,3.7128,6.3019,10.4543,7.7675,12.0176,13.3854,23.7909,18.2218,40.4983,54.128,27.2106,7.3278,3.3708,3.5173,16,19,38.7,31,1
37,59586,15.8,25.325,11.4265,27.9603,3.667,9.5414,9.435,8.7579,11.1813,11.7904,23.3487,15.3489,45.0089,53.4333,28.7468,7.717,2.9838,4.4778,16,23,38.7,28,0
39,54926,10.6,36.471,10.8282,24.1147,3.1021,6.8774,15.4522,7.6675,10.3014,10.6819,24.1733,21.2467,31.5774,49.4879,35.0307,4.8581,3.4533,4.741,15,20,35.4,28,0
41,55891,9.8,17.181,9.6586,27.3938,1.9983,8.6595,12.6561,6.2448,9.9084,8.9092,25.6453,14.4879,44.4629,54.7044,31.1407,3.3306,2.2481,4.0799,16,21,41,31,1
43,84999,7,14.77,8.0945,27.8339,3.7459,7.1824,14.6091,9.658,10.7492,13.0293,24.6091,15.7655,45.9283,59.2508,30.4235,5.1792,4.0554,3.7459,12,20,35.2,31,1
45,47062,13.6,30.826,8.8289,23.4215,4.0346,7.0212,14.9856,8.6717,10.8724,15.431,26.9845,19.8061,48.2578,61.2523,34.8179,9.8507,3.6678,3.7202,16,18,36.5,23,0
47,48884,11.1,20.404,10.8724,32.1789,3.6826,7.2775,14.2043,8.5927,11.4862,14.0289,25.9535,18.676,43.0951,56.9049,29.4608,6.0061,3.5949,3.9456,15,19,36.5,30,0
49,51809,10.9,19.109,9.8708,28.4304,3.1806,6.4465,15.3912,6.5074,15.5862,13.9898,26.6147,16.1102,39.7392,58.445,33.1099,4.6917,3.144,4.4114,15,21,35.4,31,0
